Thread 2 | TENTANDO. | L2 | 2025-07-21 18:50:25.912457
Thread 2 | ADQUIRIDO | L2 | 2025-07-21 18:50:25.912523
Thread 2 | TENTANDO. | L1 | 2025-07-21 18:50:25.912528
Thread 2 | ADQUIRIDO | L1 | 2025-07-21 18:50:25.912530
Thread 2 | LIBERADO. | L1 | 2025-07-21 18:50:25.912533
Thread 2 | LIBERADO. | L2 | 2025-07-21 18:50:25.912535
Thread 1 | TENTANDO. | L1 | 2025-07-21 18:50:25.912459
Thread 1 | ADQUIRIDO | L1 | 2025-07-21 18:50:25.912581
Thread 1 | TENTANDO. | L2 | 2025-07-21 18:50:25.912584
Thread 1 | ADQUIRIDO | L2 | 2025-07-21 18:50:25.912586
Thread 1 | LIBERADO. | L2 | 2025-07-21 18:50:25.912589
Thread 1 | LIBERADO. | L1 | 2025-07-21 18:50:25.912591
