Thread 1 | TENTANDO. | L1 | 2025-07-21 18:38:56.283922
Thread 1 | ADQUIRIDO | L1 | 2025-07-21 18:38:56.284012
Thread 1 | TENTANDO. | L2 | 2025-07-21 18:38:56.284020
Thread 1 | ADQUIRIDO | L2 | 2025-07-21 18:38:56.284024
Thread 1 | LIBERADO. | L2 | 2025-07-21 18:38:56.284028
Thread 1 | LIBERADO. | L1 | 2025-07-21 18:38:56.284032
Thread 2 | TENTANDO. | L2 | 2025-07-21 18:38:56.283922
Thread 2 | ADQUIRIDO | L2 | 2025-07-21 18:38:56.284075
Thread 2 | TENTANDO. | L1 | 2025-07-21 18:38:56.284080
Thread 2 | ADQUIRIDO | L1 | 2025-07-21 18:38:56.284084
Thread 2 | LIBERADO. | L1 | 2025-07-21 18:38:56.284088
Thread 2 | LIBERADO. | L2 | 2025-07-21 18:38:56.284091
